time	cell_1	cell_2	cell_3	cell_4	cell_5	cell_6
157680000	0.281340117	0	0	0	0	0
473040000	0	0	1.95062481	3.047851265	3.047851265	3.047851265
536110000	1.547370642	1.431164942	0	0	0	0
788400000	0	0	1.95062481	3.047851265	0	0
819940000	0.281340117	0	0	0	0	0
914540000	0.140670058	0	0	0	0	0
930310000	0	0	0	0	0	3.047851265
1040690000	0	0	1.95062481	3.047851265	1.632777463	0
1072220000	0.281340117	0	0	0	0	0
1166830000	0.281340117	0	0	0	0	0
1182600000	2.57895107	0	0	0	0	0
1198370000	0	3.657421518	3.657421518	3.657421518	3.657421518	3.657421518
1261440000	0.281340117	0	0	0	0	0
1324510000	0	0	4.876562024	4.876562024	4.876562024	4.876562024
1387580000	0.281340117	0	0	0	0	0
1482190000	0	0	0	0	6.09570253	6.09570253
1513730000	4.126321712	4.876562024	4.876562024	4.876562024	0	0
1529500000	0.281340117	0	0	0	0	0
1545260000	0	0	0	6.09570253	0	0
1576800000	0	0	0	0	4.354073236	6.09570253
1608340000	0	1.060122179	4.876562024	0	0	0
1734480000	0	0	0	6.09570253	6.09570253	0
1892160000	0.281340117	0	0	0	0	0
1986770000	0.281340117	0	0	0	0	0
2018300000	0	0	0	0	2.830147603	6.09570253
2049840000	0	0	0	0	9.143553795	9.143553795
2065610000	0.468900195	0	0	0	0	0
2081380000	3.352636391	0	0	0	0	0
2112910000	0	0	0	0	9.143553795	9.143553795
2128680000	0.468900195	0	0	0	0	0
2207520000	0	0	0	6.09570253	0	0
2239060000	0.468900195	0	0	0	0	0
2333660000	0	0	0	0	9.143553795	9.143553795
2459810000	0.234450097	0	0	0	0	0
2522880000	0	0	0	0	9.143553795	9.143553795
2617490000	0	0	3.120999695	4.876562024	0	0
2649020000	0	4.876562024	1.755562329	0	0	0
2680560000	0	0	0	0	0	6.705272783
2743630000	0	0	0	0	0	3.809814081
2838240000	0.234450097	0	0	0	0	0
2869780000	0	0	0	0	2.612443941	9.143553795
3027460000	0	0	0	0	0	9.143553795
3122060000	0	0	0	0	4.245221405	9.143553795
3311280000	0	0	0	0	1.959332956	9.143553795
3342820000	0	0	0	0	4.245221405	9.143553795
3405890000	0.234450097	0	0	0	0	0
3500500000	0	0	0	0	0	9.143553795
3689710000	0	0	0	0	4.245221405	9.143553795
