material	t	Cu (kg/sec)	cell
cont_clay	220752000	2.74E-05	2
cont_clay	252288000	2.74E-05	2
cont_clay	283824000	2.74E-05	2
cont_clay	315360000	2.74E-05	2
cont_clay	346896000	2.74E-05	2
cont_clay	378432000	2.74E-05	2
cont_clay	409968000	2.74E-05	2
cont_clay	441504000	2.72E-05	2
cont_clay	473040000	2.60E-05	2
cont_clay	504576000	5.68E-05	2
cont_clay	536112000	5.41E-05	2
cont_clay	567648000	0.000112331	2
cont_clay	599184000	0.000106419	2
cont_clay	630720000	0.000139274	2
cont_clay	662256000	0.000131081	2
cont_clay	693792000	0.000122889	2
cont_clay	725328000	0.000121791	2
cont_clay	756864000	0.000113091	2
cont_clay	788400000	9.89E-05	2
cont_clay	819936000	9.33E-05	2
cont_clay	851472000	8.48E-05	2
cont_clay	883008000	7.92E-05	2
cont_clay	914544000	8.30E-05	2
cont_clay	946080000	6.85E-05	2
cont_clay	977616000	5.19E-05	2
cont_clay	1009152000	3.47E-05	2
cont_clay	1040688000	1.84E-05	2
cont_clay	1072224000	1.46E-05	2
cont_clay	1103760000	1.03E-05	2
cont_clay	1135296000	6.19E-06	2
cont_clay	1166832000	2.06E-06	2
cont_clay	1198368000	2.43E-12	2
cont_clay	1229904000	2.43E-12	2
cont_clay	1261440000	2.43E-12	2
cont_clay	1292976000	2.43E-12	2
cont_clay	1324512000	2.43E-12	2
cont_clay	1356048000	2.43E-12	2
cont_clay	1387584000	2.43E-12	2
cont_clay	1419120000	4.04E-12	2
cont_clay	1450656000	4.04E-12	2
cont_clay	1482192000	4.04E-12	2
cont_clay	1513728000	4.04E-12	2
cont_clay	1545264000	4.45E-12	2
cont_clay	1576800000	4.45E-12	2
cont_clay	1608336000	4.45E-12	2
cont_clay	1639872000	4.45E-12	2
cont_clay	1671408000	4.45E-12	2
cont_clay	1702944000	4.45E-12	2
cont_clay	1734480000	6.23E-12	2
cont_clay	1766016000	6.23E-12	2
cont_clay	1797552000	6.23E-12	2
cont_clay	1829088000	6.23E-12	2
cont_clay	1860624000	8.22E-12	2
cont_clay	1892160000	9.03E-12	2
cont_clay	1923696000	8.73E-12	2
cont_clay	1955232000	8.73E-12	2
cont_clay	1986768000	8.73E-12	2
cont_clay	2018304000	8.73E-12	2
cont_clay	2049840000	8.73E-12	2
cont_clay	2081376000	8.73E-12	2
cont_clay	2112912000	8.73E-12	2
cont_clay	2144448000	8.73E-12	2
cont_clay	2175984000	9.51E-12	2
cont_clay	2207520000	9.70E-12	2
cont_clay	2239056000	9.70E-12	2
cont_clay	2270592000	9.70E-12	2
cont_clay	2302128000	9.70E-12	2
cont_clay	2333664000	9.70E-12	2
cont_clay	2365200000	9.70E-12	2
cont_clay	2396736000	9.70E-12	2
cont_clay	2428272000	9.70E-12	2
cont_clay	2459808000	9.70E-12	2
cont_clay	2491344000	9.70E-12	2
cont_clay	2522880000	9.70E-12	2
cont_clay	2554416000	9.70E-12	2
cont_clay	2585952000	9.70E-12	2
cont_clay	2617488000	9.70E-12	2
